Year,SumPcpn,SumEGDD_C,SumHeatD,SumFrostD,AvgSI,AvgPrcnAWHC,NDVI,Yield,Area
1987_18_20,1.2866666666666666,71.22333333333334,0.0,0.4000000000000001,0.6911428571428573,0.39238095238095266,0.149542676053333,41.8,121565.0
1987_19_21,0.5933333333333334,59.09666666666667,0.0,1.0666666666666667,0.671904761904762,0.358857142857143,0.175045756864333,41.8,121565.0
1987_20_22,5.22,58.376666666666665,0.0,0.9333333333333332,0.6434285714285717,0.33571428571428563,0.199049718193667,41.8,121565.0
1987_21_23,5.833333333333333,62.80666666666667,0.3333333333333333,0.7999999999999999,0.6033333333333332,0.315142857142857,0.21965752452,41.8,121565.0
1987_22_24,7.633333333333334,85.94333333333334,1.1333333333333333,0.0,0.505142857142857,0.287047619047619,0.240247562027333,41.8,121565.0
1987_23_25,5.52,98.02666666666666,1.7333333333333334,0.0,0.4447619047619047,0.23399999999999999,0.26080567021699996,41.8,121565.0
1987_24_26,7.946666666666666,98.52333333333333,1.6666666666666667,0.0,0.442952380952381,0.17514285714285735,0.27080642838533303,41.8,121565.0
1987_25_27,9.373333333333333,91.04333333333334,1.1333333333333335,0.0,0.46380952380952395,0.13209523809523832,0.272309457047333,41.8,121565.0
1987_26_28,8.173333333333334,78.84333333333333,0.5333333333333333,0.0,0.5014285714285713,0.09876190476190504,0.267799532663333,41.8,121565.0
1987_27_29,12.186666666666667,78.86333333333333,0.6,0.0,0.5517142857142857,0.0805714285714287,0.267360499027,41.8,121565.0
1987_28_30,13.040000000000001,82.85000000000001,1.0,0.0,0.5723809523809523,0.08038095238095237,0.269185295946333,41.8,121565.0
1987_29_31,18.126666666666665,99.23,2.3333333333333335,0.0,0.5468571428571429,0.09285714285714299,0.265400619772667,41.8,121565.0
1987_30_32,14.233333333333334,98.78333333333335,2.066666666666667,0.0,0.5244761904761907,0.10466666666666667,0.251095366749,41.8,121565.0
1987_31_33,17.266666666666666,85.01,1.4000000000000001,0.0,0.6027619047619049,0.11761904761904766,0.22090292235800002,41.8,121565.0
1987_32_34,12.206666666666663,65.46999999999998,0.06666666666666667,0.06666666666666667,0.6689523809523811,0.142190476190476,0.190845660589333,41.8,121565.0
1987_33_35,11.479999999999999,60.413333333333334,0.0,0.13333333333333333,0.707142857142857,0.16685714285714262,0.16997732113866698,41.8,121565.0
1987_34_36,5.886666666666667,68.32000000000001,0.4666666666666666,0.13333333333333333,0.7068571428571427,0.1765714285714283,0.16771230719866698,41.8,121565.0
1987_35_37,5.446666666666666,66.05000000000001,0.5333333333333333,0.6666666666666666,0.7198095238095238,0.174095238095238,0.169756401307667,41.8,121565.0
1987_36_38,2.7733333333333334,63.50666666666667,0.5333333333333333,1.1333333333333335,0.7356190476190477,0.168,0.16786490563,41.8,121565.0
1988_18_20,2.1066666666666665,62.09333333333334,0.6666666666666666,1.0,0.8096190476190478,0.15666666666666665,0.132262017369667,25.8,91784.0
1988_19_21,3.786666666666667,81.12,1.2,0.19999999999999998,0.7755238095238096,0.13876190476190467,0.137797835810333,25.8,91784.0
1988_20_22,7.100000000000001,91.35666666666667,2.1333333333333333,0.19999999999999998,0.6996190476190476,0.132285714285714,0.14551263613933302,25.8,91784.0
1988_21_23,13.46,102.14999999999999,2.533333333333333,0.0,0.584857142857143,0.129142857142857,0.156686381049667,25.8,91784.0
1988_22_24,11.873333333333333,102.65666666666668,3.0,0.0,0.48704761904761895,0.12466666666666654,0.172424835028,25.8,91784.0
1988_23_25,7.746666666666667,108.84666666666668,3.4,0.0,0.5215238095238094,0.08857142857142856,0.188420498626,25.8,91784.0
1988_24_26,8.806666666666667,110.09333333333332,3.4,0.0,0.6115238095238094,0.06828571428571427,0.201632067713667,25.8,91784.0
1988_25_27,16.206666666666667,107.70333333333333,2.6666666666666665,0.0,0.6288571428571428,0.07790476190476174,0.20893350582666698,25.8,91784.0
1988_26_28,18.720000000000002,96.69,1.2666666666666668,0.0,0.5653333333333334,0.09790476190476173,0.21098263032266698,25.8,91784.0
1988_27_29,11.166666666666666,95.95333333333333,1.5333333333333332,0.0,0.5620952380952381,0.09047619047619032,0.20779778366133303,25.8,91784.0
1988_28_30,3.8066666666666666,104.68666666666667,2.6,0.0,0.674095238095238,0.055333333333333325,0.199191455563,25.8,91784.0
1988_29_31,6.206666666666667,103.41000000000001,2.8000000000000003,0.0,0.7652380952380949,0.0460952380952381,0.186846763744333,25.8,91784.0
